,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
1204,,,600569.SH,,,,,,,,,,,,,,,,
1205,,,600581.SH,,,,,,,,,,,,,,,,
1206,,,600782.SH,,,,,,,,,,,,,,,,
1207,,,600808.SH,,,,,,,,,,,,,,,,
1208,,,601003.SH,,,,,,,,,,,,,,,,
1209,,,601005.SH,,,,,,,,,,,,,,,,
1210,,,603878.SH,,,,,,,,,,,,,,,,
1211,,,603995.SH,,,,,,,,,,,,,,,,
1212,,,000060.SZ,,,,,,,,,,,,,,,,
1213,,,000612.SZ,,,,,,,,,,,,,,,,
1214,,,000629.SZ,,,,,,,,,,,,,,,,
1215,,,000630.SZ,,,,,,,,,,,,,,,,
1216,,,000633.SZ,,,,,,,,,,,,,,,,
1217,,,000657.SZ,,,,,,,,,,,,,,,,
1218,,,000751.SZ,,,,,,,,,,,,,,,,
1219,,,000807.SZ,,,,,,,,,,,,,,,,
1220,,,000831.SZ,,,,,,,,,,,,,,,,
1221,,,000878.SZ,,,,,,,,,,,,,,,,
1222,,,000933.SZ,,,,,,,,,,,,,,,,
1223,,,000960.SZ,,,,,,,,,,,,,,,,
1224,,,000962.SZ,,,,,,,,,,,,,,,,
1225,,,002114.SZ,,,,,,,,,,,,,,,,
1226,,,002149.SZ,,,,,,,,,,,,,,,,
1227,,,002160.SZ,,,,,,,,,,,,,,,,
1228,,,002167.SZ,,,,,,,,,,,,,,,,
1229,,,002171.SZ,,,,,,,,,,,,,,,,
1230,,,002182.SZ,,,,,,,,,,,,,,,,
1231,,,002203.SZ,,,,,,,,,,,,,,,,
1232,,,002237.SZ,,,,,,,,,,,,,,,,
1233,,,002240.SZ,,,,,,,,,,,,,,,,
1234,,,002295.SZ,,,,,,,,,,,,,,,,
1235,,,002333.SZ,,,,,,,,,,,,,,,,
1236,,,002378.SZ,,,,,,,,,,,,,,,,
1237,,,002379.SZ,,,,,,,,,,,,,,,,
1238,,,002428.SZ,,,,,,,,,,,,,,,,
1239,,,002460.SZ,,,,,,,,,,,,,,,,
1240,,,002466.SZ,,,,,,,,,,,,,,,,
1241,,,002501.SZ,,,,,,,,,,,,,,,,
1242,,,002532.SZ,,,,,,,,,,,,,,,,
1243,,,002540.SZ,,,,,,,,,,,,,,,,
1244,,,002578.SZ,,,,,,,,,,,,,,,,
1245,,,002716.SZ,,,,,,,,,,,,,,,,
1246,,,002738.SZ,,,,,,,,,,,,,,,,
1247,,,002824.SZ,,,,,,,,,,,,,,,,
1248,,,002842.SZ,,,,,,,,,,,,,,,,
1249,,,002988.SZ,,,,,,,,,,,,,,,,
1250,,,003038.SZ,,,,,,,,,,,,,,,,
1251,,,300034.SZ,,,,,,,,,,,,,,,,
1252,,,300057.SZ,,,,,,,,,,,,,,,,
1253,,,300337.SZ,,,,,,,,,,,,,,,,
1254,,,300489.SZ,,,,,,,,,,,,,,,,
1255,,,300618.SZ,,,,,,,,,,,,,,,,
1256,,,300697.SZ,,,,,,,,,,,,,,,,
1257,,,300855.SZ,,,,,,,,,,,,,,,,
1258,,,300963.SZ,,,,,,,,,,,,,,,,
1259,,,600110.SH,,,,,,,,,,,,,,,,
1260,,,600111.SH,,,,,,,,,,,,,,,,
1261,,,600206.SH,,,,,,,,,,,,,,,,
1262,,,600219.SH,,,,,,,,,,,,,,,,
1263,,,600255.SH,,,,,,,,,,,,,,,,
1264,,,600281.SH,,,,,,,,,,,,,,,,
1265,,,600331.SH,,,,,,,,,,,,,,,,
1266,,,600362.SH,,,,,,,,,,,,,,,,
1267,,,600392.SH,,,,,,,,,,,,,,,,
1268,,,600456.SH,,,,,,,,,,,,,,,,
1269,,,600459.SH,,,,,,,,,,,,,,,,
1270,,,600490.SH,,,,,,,,,,,,,,,,
1271,,,600531.SH,,,,,,,,,,,,,,,,
1272,,,600549.SH,,,,,,,,,,,,,,,,
1273,,,600595.SH,,,,,,,,,,,,,,,,
1274,,,600768.SH,,,,,,,,,,,,,,,,
1275,,,600961.SH,,,,,,,,,,,,,,,,
1276,,,601137.SH,,,,,,,,,,,,,,,,
1277,,,601212.SH,,,,,,,,,,,,,,,,
1278,,,601388.SH,,,,,,,,,,,,,,,,
1279,,,601600.SH,,,,,,,,,,,,,,,,
1280,,,601609.SH,,,,,,,,,,,,,,,,
1281,,,601677.SH,,,,,,,,,,,,,,,,
1282,,,601702.SH,,,,,,,,,,,,,,,,
1283,,,603399.SH,,,,,,,,,,,,,,,,
1284,,,603527.SH,,,,,,,,,,,,,,,,
1285,,,603799.SH,,,,,,,,,,,,,,,,
1286,,,603876.SH,,,,,,,,,,,,,,,,
1287,,,603978.SH,,,,,,,,,,,,,,,,
1288,,,605208.SH,,,,,,,,,,,,,,,,
1289,,,688122.SH,,,,,,,,,,,,,,,,
1290,,,000039.SZ,,,,,,,,,,,,,,,,
1291,,,000055.SZ,,,,,,,,,,,,,,,,
1292,,,000778.SZ,,,,,,,,,,,,,,,,
1293,,,000890.SZ,,,,,,,,,,,,,,,,
1294,,,000969.SZ,,,,,,,,,,,,,,,,
1295,,,002026.SZ,,,,,,,,,,,,,,,,
1296,,,002032.SZ,,,,,,,,,,,,,,,,
1297,,,002084.SZ,,,,,,,,,,,,,,,,
1298,,,002132.SZ,,,,,,,,,,,,,,,,
1299,,,002135.SZ,,,,,,,,,,,,,,,,
1300,,,002150.SZ,,,,,,,,,,,,,,,,
1301,,,002318.SZ,,,,,,,,,,,,,,,,
1302,,,002342.SZ,,,,,,,,,,,,,,,,
1303,,,002374.SZ,,,,,,,,,,,,,,,,
1304,,,002403.SZ,,,,,,,,,,,,,,,,
1305,,,002443.SZ,,,,,,,,,,,,,,,,
1306,,,002444.SZ,,,,,,,,,,,,,,,,
1307,,,002478.SZ,,,,,,,,,,,,,,,,
1308,,,002487.SZ,,,,,,,,,,,,,,,,
1309,,,002514.SZ,,,,,,,,,,,,,,,,
1310,,,002541.SZ,,,,,,,,,,,,,,,,
1311,,,002545.SZ,,,,,,,,,,,,,,,,
1312,,,002547.SZ,,,,,,,,,,,,,,,,
1313,,,002615.SZ,,,,,,,,,,,,,,,,
1314,,,002652.SZ,,,,,,,,,,,,,,,,
1315,,,002701.SZ,,,,,,,,,,,,,,,,
1316,,,002722.SZ,,,,,,,,,,,,,,,,
1317,,,002743.SZ,,,,,,,,,,,,,,,,
1318,,,002752.SZ,,,,,,,,,,,,,,,,
1319,,,002760.SZ,,,,,,,,,,,,,,,,
1320,,,002787.SZ,,,,,,,,,,,,,,,,
1321,,,002791.SZ,,,,,,,,,,,,,,,,
1322,,,002843.SZ,,,,,,,,,,,,,,,,
1323,,,002846.SZ,,,,,,,,,,,,,,,,
1324,,,002850.SZ,,,,,,,,,,,,,,,,
1325,,,002921.SZ,,,,,,,,,,,,,,,,
1326,,,002965.SZ,,,,,,,,,,,,,,,,
1327,,,002969.SZ,,,,,,,,,,,,,,,,
1328,,,002976.SZ,,,,,,,,,,,,,,,,
1329,,,003043.SZ,,,,,,,,,,,,,,,,
1330,,,300328.SZ,,,,,,,,,,,,,,,,
1331,,,300345.SZ,,,,,,,,,,,,,,,,
1332,,,300488.SZ,,,,,,,,,,,,,,,,
1333,,,300828.SZ,,,,,,,,,,,,,,,,
1334,,,300881.SZ,,,,,,,,,,,,,,,,
1335,,,300885.SZ,,,,,,,,,,,,,,,,
1336,,,300946.SZ,,,,,,,,,,,,,,,,
1337,,,300985.SZ,,,,,,,,,,,,,,,,
1338,,,300986.SZ,,,,,,,,,,,,,,,,
1339,,,300988.SZ,,,,,,,,,,,,,,,,
1340,,,301004.SZ,,,,,,,,,,,,,,,,
1341,,,301040.SZ,,,,,,,,,,,,,,,,
1342,,,301055.SZ,,,,,,,,,,,,,,,,
1343,,,600114.SH,,,,,,,,,,,,,,,,
1344,,,600477.SH,,,,,,,,,,,,,,,,
1345,,,600496.SH,,,,,,,,,,,,,,,,
1346,,,600558.SH,,,,,,,,,,,,,,,,
1347,,,600615.SH,,,,,,,,,,,,,,,,
1348,,,600992.SH,,,,,,,,,,,,,,,,
1349,,,601686.SH,,,,,,,,,,,,,,,,
1350,,,601700.SH,,,,,,,,,,,,,,,,
1351,,,601968.SH,,,,,,,,,,,,,,,,
1352,,,603028.SH,,,,,,,,,,,,,,,,
1353,,,603040.SH,,,,,,,,,,,,,,,,
1354,,,603112.SH,,,,,,,,,,,,,,,,
1355,,,603278.SH,,,,,,,,,,,,,,,,
1356,,,603348.SH,,,,,,,,,,,,,,,,
1357,,,603577.SH,,,,,,,,,,,,,,,,
1358,,,603626.SH,,,,,,,,,,,,,,,,
1359,,,603629.SH,,,,,,,,,,,,,,,,
1360,,,603848.SH,,,,,,,,,,,,,,,,
1361,,,603937.SH,,,,,,,,,,,,,,,,
1362,,,603969.SH,,,,,,,,,,,,,,,,
1363,,,603985.SH,,,,,,,,,,,,,,,,
1364,,,605123.SH,,,,,,,,,,,,,,,,
1365,,,605158.SH,,,,,,,,,,,,,,,,
1366,,,605268.SH,,,,,,,,,,,,,,,,
1367,,,605376.SH,,,,,,,,,,,,,,,,
1368,,,688059.SH,,,,,,,,,,,,,,,,
1369,,,688186.SH,,,,,,,,,,,,,,,,
1370,,,688308.SH,,,,,,,,,,,,,,,,
1371,,,688355.SH,,,,,,,,,,,,,,,,
1372,,,688379.SH,,,,,,,,,,,,,,,,
1373,,,688456.SH,,,,,,,,,,,,,,,,
1374,,,688786.SH,,,,,,,,,,,,,,,,
1375,,,000404.SZ,,,,,,,,,,,,,,,,
1376,,,000410.SZ,,,,,,,,,,,,,,,,
1377,,,000530.SZ,,,,,,,,,,,,,,,,
1378,,,000570.SZ,,,,,,,,,,,,,,,,
1379,,,000595.SZ,,,,,,,,,,,,,,,,
1380,,,000678.SZ,,,,,,,,,,,,,,,,
1381,,,000777.SZ,,,,,,,,,,,,,,,,
1382,,,000811.SZ,,,,,,,,,,,,,,,,
1383,,,000816.SZ,,,,,,,,,,,,,,,,
1384,,,000837.SZ,,,,,,,,,,,,,,,,
1385,,,000880.SZ,,,,,,,,,,,,,,,,
1386,,,000903.SZ,,,,,,,,,,,,,,,,
1387,,,002009.SZ,,,,,,,,,,,,,,,,
1388,,,002011.SZ,,,,,,,,,,,,,,,,
1389,,,002046.SZ,,,,,,,,,,,,,,,,
1390,,,002050.SZ,,,,,,,,,,,,,,,,
1391,,,002122.SZ,,,,,,,,,,,,,,,,
1392,,,002152.SZ,,,,,,,,,,,,,,,,
1393,,,002158.SZ,,,,,,,,,,,,,,,,
1394,,,002202.SZ,,,,,,,,,,,,,,,,
1395,,,002248.SZ,,,,,,,,,,,,,,,,
1396,,,002255.SZ,,,,,,,,,,,,,,,,
1397,,,002272.SZ,,,,,,,,,,,,,,,,
1398,,,002282.SZ,,,,,,,,,,,,,,,,
1399,,,002347.SZ,,,,,,,,,,,,,,,,
1400,,,002367.SZ,,,,,,,,,,,,,,,,
1401,,,002418.SZ,,,,,,,,,,,,,,,,
1402,,,002438.SZ,,,,,,,,,,,,,,,,
1403,,,002472.SZ,,,,,,,,,,,,,,,,
1404,,,002480.SZ,,,,,,,,,,,,,,,,
1405,,,002483.SZ,,,,,,,,,,,,,,,,
1406,,,002520.SZ,,,,,,,,,,,,,,,,
1407,,,002523.SZ,,,,,,,,,,,,,,,,
1408,,,002529.SZ,,,,,,,,,,,,,,,,
1409,,,002534.SZ,,,,,,,,,,,,,,,,
1410,,,002537.SZ,,,,,,,,,,,,,,,,
1411,,,002552.SZ,,,,,,,,,,,,,,,,
1412,,,002553.SZ,,,,,,,,,,,,,,,,
1413,,,002559.SZ,,,,,,,,,,,,,,,,
1414,,,002598.SZ,,,,,,,,,,,,,,,,
1415,,,002630.SZ,,,,,,,,,,,,,,,,
1416,,,002633.SZ,,,,,,,,,,,,,,,,
1417,,,002639.SZ,,,,,,,,,,,,,,,,
1418,,,002685.SZ,,,,,,,,,,,,,,,,
1419,,,002686.SZ,,,,,,,,,,,,,,,,
1420,,,002689.SZ,,,,,,,,,,,,,,,,
1421,,,002774.SZ,,,,,,,,,,,,,,,,
1422,,,002795.SZ,,,,,,,,,,,,,,,,
1423,,,002808.SZ,,,,,,,,,,,,,,,,
1424,,,002816.SZ,,,,,,,,,,,,,,,,
1425,,,002871.SZ,,,,,,,,,,,,,,,,
1426,,,002884.SZ,,,,,,,,,,,,,,,,
1427,,,002896.SZ,,,,,,,,,,,,,,,,
1428,,,002903.SZ,,,,,,,,,,,,,,,,
1429,,,002943.SZ,,,,,,,,,,,,,,,,
1430,,,003025.SZ,,,,,,,,,,,,,,,,
1431,,,003033.SZ,,,,,,,,,,,,,,,,
1432,,,300004.SZ,,,,,,,,,,,,,,,,
1433,,,300024.SZ,,,,,,,,,,,,,,,,
1434,,,300083.SZ,,,,,,,,,,,,,,,,
1435,,,300091.SZ,,,,,,,,,,,,,,,,
1436,,,300126.SZ,,,,,,,,,,,,,,,,
1437,,,300145.SZ,,,,,,,,,,,,,,,,
1438,,,300154.SZ,,,,,,,,,,,,,,,,
1439,,,300161.SZ,,,,,,,,,,,,,,,,
1440,,,300185.SZ,,,,,,,,,,,,,,,,
1441,,,300193.SZ,,,,,,,,,,,,,,,,
1442,,,300202.SZ,,,,,,,,,,,,,,,,
1443,,,300257.SZ,,,,,,,,,,,,,,,,
1444,,,300260.SZ,,,,,,,,,,,,,,,,
1445,,,300263.SZ,,,,,,,,,,,,,,,,
1446,,,300411.SZ,,,,,,,,,,,,,,,,
1447,,,300420.SZ,,,,,,,,,,,,,,,,
1448,,,300421.SZ,,,,,,,,,,,,,,,,
1449,,,300441.SZ,,,,,,,,,,,,,,,,
1450,,,300470.SZ,,,,,,,,,,,,,,,,
1451,,,300473.SZ,,,,,,,,,,,,,,,,
1452,,,300503.SZ,,,,,,,,,,,,,,,,
1453,,,300512.SZ,,,,,,,,,,,,,,,,
1454,,,300540.SZ,,,,,,,,,,,,,,,,
1455,,,300607.SZ,,,,,,,,,,,,,,,,
1456,,,300611.SZ,,,,,,,,,,,,,,,,
1457,,,300669.SZ,,,,,,,,,,,,,,,,
1458,,,300694.SZ,,,,,,,,,,,,,,,,
1459,,,300718.SZ,,,,,,,,,,,,,,,,
1460,,,300772.SZ,,,,,,,,,,,,,,,,
1461,,,300780.SZ,,,,,,,,,,,,,,,,
1462,,,300809.SZ,,,,,,,,,,,,,,,,
1463,,,300817.SZ,,,,,,,,,,,,,,,,
1464,,,300850.SZ,,,,,,,,,,,,,,,,
1465,,,300853.SZ,,,,,,,,,,,,,,,,
1466,,,300907.SZ,,,,,,,,,,,,,,,,
1467,,,300931.SZ,,,,,,,,,,,,,,,,
1468,,,300943.SZ,,,,,,,,,,,,,,,,
1469,,,300971.SZ,,,,,,,,,,,,,,,,
1470,,,300984.SZ,,,,,,,,,,,,,,,,
1471,,,300990.SZ,,,,,,,,,,,,,,,,
1472,,,300992.SZ,,,,,,,,,,,,,,,,
1473,,,301020.SZ,,,,,,,,,,,,,,,,
1474,,,301028.SZ,,,,,,,,,,,,,,,,
1475,,,301029.SZ,,,,,,,,,,,,,,,,
1476,,,301032.SZ,,,,,,,,,,,,,,,,
1477,,,301043.SZ,,,,,,,,,,,,,,,,
1478,,,301056.SZ,,,,,,,,,,,,,,,,
1479,,,600218.SH,,,,,,,,,,,,,,,,
1480,,,600243.SH,,,,,,,,,,,,,,,,
1481,,,600416.SH,,,,,,,,,,,,,,,,
1482,,,600421.SH,,,,,,,,,,,,,,,,
1483,,,600444.SH,,,,,,,,,,,,,,,,
1484,,,600592.SH,,,,,,,,,,,,,,,,
1485,,,600619.SH,,,,,,,,,,,,,,,,
1486,,,600835.SH,,,,,,,,,,,,,,,,
1487,,,600841.SH,,,,,,,,,,,,,,,,
1488,,,600875.SH,,,,,,,,,,,,,,,,
1489,,,600894.SH,,,,,,,,,,,,,,,,
1490,,,601002.SH,,,,,,,,,,,,,,,,
1491,,,601177.SH,,,,,,,,,,,,,,,,
1492,,,601615.SH,,,,,,,,,,,,,,,,
1493,,,601727.SH,,,,,,,,,,,,,,,,
1494,,,601882.SH,,,,,,,,,,,,,,,,
1495,,,601956.SH,,,,,,,,,,,,,,,,
1496,,,603011.SH,,,,,,,,,,,,,,,,
1497,,,603090.SH,,,,,,,,,,,,,,,,
1498,,,603109.SH,,,,,,,,,,,,,,,,
1499,,,603131.SH,,,,,,,,,,,,,,,,
1500,,,603187.SH,,,,,,,,,,,,,,,,
1501,,,603218.SH,,,,,,,,,,,,,,,,
1502,,,603269.SH,,,,,,,,,,,,,,,,
1503,,,603277.SH,,,,,,,,,,,,,,,,
1504,,,603279.SH,,,,,,,,,,,,,,,,
1505,,,603298.SH,,,,,,,,,,,,,,,,
1506,,,603315.SH,,,,,,,,,,,,,,,,
1507,,,603320.SH,,,,,,,,,,,,,,,,
1508,,,603321.SH,,,,,,,,,,,,,,,,
1509,,,603339.SH,,,,,,,,,,,,,,,,
1510,,,603356.SH,,,,,,,,,,,,,,,,
1511,,,603611.SH,,,,,,,,,,,,,,,,
1512,,,603617.SH,,,,,,,,,,,,,,,,
1513,,,603667.SH,,,,,,,,,,,,,,,,
1514,,,603699.SH,,,,,,,,,,,,,,,,
1515,,,603757.SH,,,,,,,,,,,,,,,,
1516,,,603915.SH,,,,,,,,,,,,,,,,
1517,,,603966.SH,,,,,,,,,,,,,,,,
1518,,,605060.SH,,,,,,,,,,,,,,,,
1519,,,605100.SH,,,,,,,,,,,,,,,,
1520,,,605259.SH,,,,,,,,,,,,,,,,
1521,,,605286.SH,,,,,,,,,,,,,,,,
1522,,,605389.SH,,,,,,,,,,,,,,,,
1523,,,688017.SH,,,,,,,,,,,,,,,,
1524,,,688165.SH,,,,,,,,,,,,,,,,
1525,,,688305.SH,,,,,,,,,,,,,,,,
1526,,,688333.SH,,,,,,,,,,,,,,,,
1527,,,688360.SH,,,,,,,,,,,,,,,,
1528,,,688557.SH,,,,,,,,,,,,,,,,
1529,,,688558.SH,,,,,,,,,,,,,,,,
1530,,,688577.SH,,,,,,,,,,,,,,,,
1531,,,688660.SH,,,,,,,,,,,,,,,,
1532,,,688678.SH,,,,,,,,,,,,,,,,
1533,,,688697.SH,,,,,,,,,,,,,,,,
1534,,,000157.SZ,,,,,,,,,,,,,,,,
1535,,,000425.SZ,,,,,,,,,,,,,,,,
1536,,,000519.SZ,,,,,,,,,,,,,,,,
1537,,,000528.SZ,,,,,,,,,,,,,,,,
1538,,,000576.SZ,,,,,,,,,,,,,,,,
1539,,,000584.SZ,,,,,,,,,,,,,,,,
1540,,,000622.SZ,,,,,,,,,,,,,,,,
1541,,,000680.SZ,,,,,,,,,,,,,,,,
1542,,,000821.SZ,,,,,,,,,,,,,,,,
1543,,,000852.SZ,,,,,,,,,,,,,,,,
1544,,,000856.SZ,,,,,,,,,,,,,,,,
1545,,,000925.SZ,,,,,,,,,,,,,,,,
1546,,,002006.SZ,,,,,,,,,,,,,,,,
1547,,,002008.SZ,,,,,,,,,,,,,,,,
1548,,,002021.SZ,,,,,,,,,,,,,,,,
1549,,,002031.SZ,,,,,,,,,,,,,,,,
1550,,,002073.SZ,,,,,,,,,,,,,,,,
1551,,,002097.SZ,,,,,,,,,,,,,,,,
1552,,,002111.SZ,,,,,,,,,,,,,,,,
1553,,,002164.SZ,,,,,,,,,,,,,,,,
1554,,,002177.SZ,,,,,,,,,,,,,,,,
1555,,,002196.SZ,,,,,,,,,,,,,,,,
1556,,,002204.SZ,,,,,,,,,,,,,,,,
1557,,,002209.SZ,,,,,,,,,,,,,,,,
1558,,,002223.SZ,,,,,,,,,,,,,,,,
1559,,,002278.SZ,,,,,,,,,,,,,,,,
1560,,,002337.SZ,,,,,,,,,,,,,,,,
1561,,,002353.SZ,,,,,,,,,,,,,,,,
1562,,,002366.SZ,,,,,,,,,,,,,,,,
1563,,,002371.SZ,,,,,,,,,,,,,,,,
1564,,,002382.SZ,,,,,,,,,,,,,,,,
1565,,,002430.SZ,,,,,,,,,,,,,,,,
1566,,,002432.SZ,,,,,,,,,,,,,,,,
1567,,,002490.SZ,,,,,,,,,,,,,,,,
1568,,,002526.SZ,,,,,,,,,,,,,,,,
1569,,,002535.SZ,,,,,,,,,,,,,,,,
1570,,,002551.SZ,,,,,,,,,,,,,,,,
1571,,,002595.SZ,,,,,,,,,,,,,,,,
1572,,,002611.SZ,,,,,,,,,,,,,,,,
1573,,,002613.SZ,,,,,,,,,,,,,,,,
1574,,,002645.SZ,,,,,,,,,,,,,,,,
1575,,,002651.SZ,,,,,,,,,,,,,,,,
1576,,,002667.SZ,,,,,,,,,,,,,,,,
1577,,,002690.SZ,,,,,,,,,,,,,,,,
1578,,,002691.SZ,,,,,,,,,,,,,,,,
1579,,,002698.SZ,,,,,,,,,,,,,,,,
1580,,,002730.SZ,,,,,,,,,,,,,,,,
1581,,,002757.SZ,,,,,,,,,,,,,,,,
1582,,,002779.SZ,,,,,,,,,,,,,,,,
1583,,,002786.SZ,,,,,,,,,,,,,,,,
1584,,,002833.SZ,,,,,,,,,,,,,,,,
1585,,,002837.SZ,,,,,,,,,,,,,,,,
1586,,,002890.SZ,,,,,,,,,,,,,,,,
1587,,,002901.SZ,,,,,,,,,,,,,,,,
1588,,,002931.SZ,,,,,,,,,,,,,,,,
1589,,,002950.SZ,,,,,,,,,,,,,,,,
1590,,,002957.SZ,,,,,,,,,,,,,,,,
1591,,,002975.SZ,,,,,,,,,,,,,,,,
1592,,,002997.SZ,,,,,,,,,,,,,,,,
1593,,,003036.SZ,,,,,,,,,,,,,,,,
1594,,,300003.SZ,,,,,,,,,,,,,,,,
1595,,,300023.SZ,,,,,,,,,,,,,,,,
1596,,,300029.SZ,,,,,,,,,,,,,,,,
1597,,,300030.SZ,,,,,,,,,,,,,,,,
1598,,,300049.SZ,,,,,,,,,,,,,,,,
1599,,,300056.SZ,,,,,,,,,,,,,,,,
1600,,,300092.SZ,,,,,,,,,,,,,,,,
1601,,,300095.SZ,,,,,,,,,,,,,,,,
1602,,,300097.SZ,,,,,,,,,,,,,,,,
1603,,,300099.SZ,,,,,,,,,,,,,,,,
1604,,,300130.SZ,,,,,,,,,,,,,,,,
1605,,,300140.SZ,,,,,,,,,,,,,,,,
1606,,,300151.SZ,,,,,,,,,,,,,,,,
1607,,,300171.SZ,,,,,,,,,,,,,,,,
1608,,,300173.SZ,,,,,,,,,,,,,,,,
1609,,,300195.SZ,,,,,,,,,,,,,,,,
1610,,,300201.SZ,,,,,,,,,,,,,,,,
1611,,,300206.SZ,,,,,,,,,,,,,,,,
1612,,,300210.SZ,,,,,,,,,,,,,,,,
1613,,,300228.SZ,,,,,,,,,,,,,,,,
1614,,,300238.SZ,,,,,,,,,,,,,,,,
1615,,,300246.SZ,,,,,,,,,,,,,,,,
1616,,,300273.SZ,,,,,,,,,,,,,,,,
1617,,,300276.SZ,,,,,,,,,,,,,,,,
1618,,,300278.SZ,,,,,,,,,,,,,,,,
1619,,,300281.SZ,,,,,,,,,,,,,,,,
1620,,,300293.SZ,,,,,,,,,,,,,,,,
1621,,,300298.SZ,,,,,,,,,,,,,,,,
1622,,,300307.SZ,,,,,,,,,,,,,,,,
1623,,,300314.SZ,,,,,,,,,,,,,,,,
1624,,,300316.SZ,,,,,,,,,,,,,,,,
1625,,,300318.SZ,,,,,,,,,,,,,,,,
1626,,,300326.SZ,,,,,,,,,,,,,,,,
1627,,,300334.SZ,,,,,,,,,,,,,,,,
1628,,,300358.SZ,,,,,,,,,,,,,,,,
1629,,,300368.SZ,,,,,,,,,,,,,,,,
1630,,,300382.SZ,,,,,,,,,,,,,,,,
1631,,,300385.SZ,,,,,,,,,,,,,,,,
1632,,,300396.SZ,,,,,,,,,,,,,,,,
1633,,,300400.SZ,,,,,,,,,,,,,,,,
1634,,,300402.SZ,,,,,,,,,,,,,,,,
1635,,,300410.SZ,,,,,,,,,,,,,,,,
1636,,,300412.SZ,,,,,,,,,,,,,,,,
1637,,,300415.SZ,,,,,,,,,,,,,,,,
1638,,,300425.SZ,,,,,,,,,,,,,,,,
1639,,,300442.SZ,,,,,,,,,,,,,,,,
1640,,,300443.SZ,,,,,,,,,,,,,,,,
1641,,,300450.SZ,,,,,,,,,,,,,,,,
1642,,,300453.SZ,,,,,,,,,,,,,,,,
1643,,,300457.SZ,,,,,,,,,,,,,,,,
1644,,,300461.SZ,,,,,,,,,,,,,,,,
1645,,,300462.SZ,,,,,,,,,,,,,,,,
1646,,,300471.SZ,,,,,,,,,,,,,,,,
1647,,,300472.SZ,,,,,,,,,,,,,,,,
1648,,,300486.SZ,,,,,,,,,,,,,,,,
1649,,,300509.SZ,,,,,,,,,,,,,,,,
1650,,,300521.SZ,,,,,,,,,,,,,,,,
1651,,,300526.SZ,,,,,,,,,,,,,,,,
1652,,,300527.SZ,,,,,,,,,,,,,,,,
1653,,,300529.SZ,,,,,,,,,,,,,,,,
1654,,,300545.SZ,,,,,,,,,,,,,,,,
1655,,,300549.SZ,,,,,,,,,,,,,,,,
1656,,,300551.SZ,,,,,,,,,,,,,,,,
1657,,,300562.SZ,,,,,,,,,,,,,,,,
1658,,,300595.SZ,,,,,,,,,,,,,,,,
1659,,,300604.SZ,,,,,,,,,,,,,,,,
1660,,,300619.SZ,,,,,,,,,,,,,,,,
1661,,,300631.SZ,,,,,,,,,,,,,,,,
1662,,,300633.SZ,,,,,,,,,,,,,,,,
1663,,,300653.SZ,,,,,,,,,,,,,,,,
1664,,,300707.SZ,,,,,,,,,,,,,,,,
1665,,,300751.SZ,,,,,,,,,,,,,,,,
1666,,,300753.SZ,,,,,,,,,,,,,,,,
1667,,,300757.SZ,,,,,,,,,,,,,,,,
1668,,,300760.SZ,,,,,,,,,,,,,,,,
1669,,,300771.SZ,,,,,,,,,,,,,,,,
1670,,,300776.SZ,,,,,,,,,,,,,,,,
1671,,,300786.SZ,,,,,,,,,,,,,,,,
1672,,,300812.SZ,,,,,,,,,,,,,,,,
1673,,,300813.SZ,,,,,,,,,,,,,,,,
1674,,,300818.SZ,,,,,,,,,,,,,,,,
1675,,,300823.SZ,,,,,,,,,,,,,,,,
1676,,,300836.SZ,,,,,,,,,,,,,,,,
1677,,,300837.SZ,,,,,,,,,,,,,,,,
1678,,,300865.SZ,,,,,,,,,,,,,,,,
1679,,,300869.SZ,,,,,,,,,,,,,,,,
1680,,,300875.SZ,,,,,,,,,,,,,,,,
1681,,,300879.SZ,,,,,,,,,,,,,,,,
1682,,,300896.SZ,,,,,,,,,,,,,,,,
1683,,,300902.SZ,,,,,,,,,,,,,,,,
1684,,,300950.SZ,,,,,,,,,,,,,,,,
1685,,,300953.SZ,,,,,,,,,,,,,,,,
1686,,,300998.SZ,,,,,,,,,,,,,,,,
1687,,,301013.SZ,,,,,,,,,,,,,,,,
1688,,,301018.SZ,,,,,,,,,,,,,,,,
1689,,,301021.SZ,,,,,,,,,,,,,,,,
1690,,,301022.SZ,,,,,,,,,,,,,,,,
1691,,,301030.SZ,,,,,,,,,,,,,,,,
1692,,,301033.SZ,,,,,,,,,,,,,,,,
1693,,,301053.SZ,,,,,,,,,,,,,,,,
1694,,,600031.SH,,,,,,,,,,,,,,,,
1695,,,600055.SH,,,,,,,,,,,,,,,,
1696,,,600169.SH,,,,,,,,,,,,,,,,
1697,,,600184.SH,,,,,,,,,,,,,,,,
1698,,,600262.SH,,,,,,,,,,,,,,,,
1699,,,600302.SH,,,,,,,,,,,,,,,,
1700,,,600320.SH,,,,,,,,,,,,,,,,
